Année,Population au 1er janvier(1) France métropolitaine,Population au 1er janvier(1) France entière,Naissance France métropolitaine,Naissance France entière,Décès(3) France métropolitaine,Décès(3) France entière
1901,38485925,,917075,,825315,
1902,38563977,,904434,,801379,
1903,38656511,,884498,,794566,
1904,38737472,,877091,,802536,
1905,38799646,,865604,,812338,
1906,38835559,,864745,,820051,
1907,38893183,,829632,,830871,
1908,38925158,,848982,,784415,
1909,39024322,,824739,,792798,
1910,39088975,,828140,,737877,
1911,39227783,,793506,,813653,
1912,39229435,,801642,,726848,
1913,39337442,,795851,,736937,
1914,39431244,,757931,,774931,
1915,n.d.,,482968,,747968,
1916,n.d.,,384676,,697676,
1917,n.d.,,412744,,712744,
1918,n.d.,,472816,,867816,
1919,n.d.,,506960,,739901,
1920,38382970,,838137,,675676,
1921,38773096,,816555,,697904,
1922,38978390,,764373,,692322,
1923,39248499,,765888,,670326,
1924,39610544,,757873,,683296,
1925,39981304,,774455,,712211,
1926,40216614,,771690,,716966,
1927,40404173,,748102,,679809,
1928,40556209,,753570,,678269,
1929,40741138,,734140,,742732,
1930,40912063,,754020,,652953,
1931,41257234,,737611,,682816,
1932,41260617,,726299,,663705,
1933,41275745,,682394,,664133,
1934,41248846,,681518,,637713,
1935,41248507,,643870,,661722,
1936,41194384,,634344,,645844,
1937,41198023,,621453,,632896,
1938,41216087,,615582,,650832,
1939,39384623,,615599,,645677,
1940,39502695,,561281,,740281,
1941,37387834,,522261,,675261,
1942,37378094,,575261,,656261,
1943,37126762,,615780,,626780,
1944,36651064,,629878,,666878,
1945,36753481,,645899,,643899,
1946,40125230,,843904,,545880,
1947,40448254,,870472,,538157,
1948,40910569,,870836,,513210,
1949,41313195,,872661,,573598,
1950,41647258,,862310,,534480,
1951,42010088,,826722,,565829,
1952,42300981,,822204,,524831,
1953,42618354,,804696,,556983,
1954,42885138,,810754,,518892,
1955,43227872,,805917,,526322,
1956,43627467,,806916,,545700,
1957,44058683,,816467,,532107,542195
1958,44563043,,812215,,500596,510742
1959,45014662,,829249,,509114,518630
1960,45464797,,819819,,520960,530557
1961,45903656,,838633,,500289,509361
1962,46422000,,832353,,541147,550501
1963,47573406,,868876,,557852,567197
1964,48059029,,877804,,520033,529189
1965,48561800,,865688,,543696,552757
1966,48953792,,863527,,528782,538864
1967,49373537,,840568,,543033,551852
1968,49723072,,835796,,553441,562370
1969,50107735,,842245,,573335,582481
1970,50528219,,850381,,542277,551304
1971,51016234,,881284,,554151,562613
1972,51485953,,877506,,549900,558500
1973,51915873,,857186,,558782,567389
1974,52320725,,801218,,552551,560763
1975,52600000,,745065,,560353,568378
1976,52798338,,720395,,557114,565168
1977,53019005,,744744,,536221,544046
1978,53271566,,737062,,546916,554729
1979,53481073,,757354,,541805,549388
1980,53731387,,800376,,547107,554958
1981,54028630,,805483,,554823,562428
1982,54335000,55572624,797223,823260,543104,550724
1983,54649984,55905460,748525,775441,559655,567755
1984,54894854,56166175,759939,787429,542490,550259
1985,55157303,56444748,768431,796138,552496,560393
1986,55411238,56719935,778468,805543,546926,554738
1987,55681780,57012268,767828,795790,527466,535389
1988,55966142,57325053,771268,800560,524600,532527
1989,56269810,57659542,765473,796101,529283,537527
1990,56577000,57996401,762407,793071,526201,534386
1991,56840661,58280135,759056,790078,524685,532887
1992,57110533,58571237,743658,774755,521530,529814
1993,57369161,58852002,711610,741306,532263,540533
1994,57565008,59070077,710993,740774,519965,528121
1995,57752535,59280577,729609,759058,531618,540313
1996,57935959,59487413,734338,764028,535775,544604
1997,58116018,59691177,726768,757384,530319,539267
1998,58298962,59899347,738080,767906,534005,543409
1999,58496613,60122665,744791,775796,537661,547266
2000,58858198,60508150,774782,807405,530864,540601
2001,59266572,60941410,770945,803234,531073,541029
2002,59685899,61385070,761630,792745,535144,545241
2003,60101841,61824030,761464,793044,552339,562467
2004,60505421,62251062,767816,799361,509429,519470
2005,60963264,62730537,774355,806822,527533,538081
2006,61399733,63186117,796896,829352,516416,526920
2007,61795238,63600690,785985,818705,521016,531162
2008,62134866,63961859,796044,828404,532131,542575
2009,62465709,64304500,793420,824641,538116,548541
2010,62765235,64612939,802224,832799,540469,551218
2011,63070344,64933400,792996,823394,534795,545057
2012,63375971,65241241,790290,821047,559227,569868
2013,63697865,65564756,781621,811510,558408,569236
2014,64027958,66130873,781167,818565,547003,559293
2015,64300821,66422469,760421,798948,581770,593680
2016,64468792,66602645,744697,783640,581073,593865
2017*,64639133,66774482,730242,769553,593606,606274
2018*,64737769,66883761,719737,758590,596552,609648
2019*,64821954,66977703,714000,753000,599000,612000
2020*,64897954,67063703,n.d.,n.d.,n.d.,n.d.
