Année de naissance,Age en années révolues,Les deux sexes
1900,0,729374
1899,1,683692
1898,2,666791
1897,3,675902
1896,4,683661
1895,5,638704
1894,6,656822
1893,7,659966
1892,8,629221
1891,9,647858
1890,10,617743
1889,11,656459
1888,12,645965
1887,13,653033
1886,14,652980
1885,15,661798
1884,16,662460
1883,17,659922
1882,18,652582
1881,19,650389
1880,20,623335
1879,21,640111
1878,22,630272
1877,23,636381
1876,24,653152
1875,25,634975
1874,26,635747
1873,27,611480
1872,28,630907
1871,29,501823
1870,30,568892
1869,31,565591
1868,32,540291
1867,33,554845
1866,34,561976
1865,35,548601
1864,36,546653
1863,37,542501
1862,38,533188
1861,39,535706
1860,40,515815
1859,41,522928
1858,42,479566
1857,43,461998
1856,44,475317
1855,45,445114
1854,46,443904
1853,47,448117
1852,48,455919
1851,49,458382
1850,50,446892
1849,51,450501
1848,52,411881
1847,53,385280
1846,54,399249
1845,55,406008
1844,56,386385
1843,57,380071
1842,58,371066
1841,59,375373
1840,60,355848
1839,61,342812
1838,62,319827
1837,63,302345
1836,64,309446
1835,65,300429
1834,66,274172
1833,67,257382
1832,68,235907
1831,69,247054
1830,70,229796
1829,71,214778
1828,72,191442
1827,73,175466
1826,74,164040
1825,75,144760
1824,76,133163
1823,77,112977
1822,78,101136
1821,79,90663
1820,80,80304
1819,81,66803
1818,82,52754
1817,83,42803
1816,84,35783
1815,85,28098
1814,86,21772
1813,87,15913
1812,88,10937
1811,89,8178
1810,90,6129
1809,91,4180
1808,92,2743
1807,93,1748
1806,94,1105
1805,95,704
1804,96,429
1803,97,254
1802,98,149
1801,99,81
1800 ou av. ,100 ou plus ,100
