période;ttage_masc_eff;ttage_masc_taux;ttage_fem_eff;ttage_fem_taux;ttage_tot_eff;ttage_tot_taux;moins65_masc_eff;moins65_masc_taux;moins65_fem_eff;moins65_fem_taux;moins65_tot_eff;moins65_tot_taux
1981-1983;30110;150.6;19882;80.1;49992;113.0;20555;91.1;6870;30.5;27424;60.8
1984-1986;29383;142.1;19916;75.4;49299;106.4;19955;86.2;6780;29.3;26736;57.7
1987-1989;28028;130.7;18724;67.1;46753;96.3;18774;79.8;6415;27.5;25189;53.6
1990-1992;28122;126.1;18572;62.9;46694;91.9;18557;77.7;6100;25.9;24657;51.8
1993-1995;27260;118.5;17755;56.9;45015;84.8;17569;73.0;5909;24.8;23478;48.8
1996-1998;26007;110.4;17258;52.9;43265;78.9;16101;66.5;5482;22.9;21582;44.6
1999-2001;24685;101.9;16966;49.3;41651;73.1;15018;61.4;5059;20.6;20077;40.9
2002-2004;23407;94.3;16214;45.2;39621;67.2;13810;55.4;4593;18.2;18404;36.6
2005-2007;22046;85.0;14670;38.6;36716;59.3;12675;49.7;4224;16.2;16899;32.8
2008-2010;22385;82.7;14777;36.6;37162;57.0;12455;48.0;4068;15.1;16523;31.3
2011-2013;21892;77.0;14748;34.0;36640;53.2;11637;44.5;3706;13.6;15343;28.8
2014-2016;21862;73.1;15046;32.0;36908;50.3;10584;40.5;3214;11.8;13798;25.9
